"ONTOLOGY","TERM","N","DE","P.DE","FDR"
"BP","regulation of cell population proliferation",1741,76,0.370523755730443,1
"BP","generation of neurons",1567,76,0.65521963983056,1
"BP","phosphorus metabolic process",1855,75,0.811887280749848,1
"BP","phosphate-containing compound metabolic process",1852,75,0.807087816178652,1
"BP","protein-containing complex organization",1840,75,0.566799025029322,1
"BP","plasma membrane bounded cell projection organization",1619,75,0.745125181183868,1
"BP","regulation of cell differentiation",1638,74,0.473752254125096,1
"BP","negative regulation of response to stimulus",1897,74,0.827938711338867,1
"BP","regulation of transport",1648,74,0.427896285459199,1
"BP","cell migration",1647,73,0.554462641275792,1
"BP","positive regulation of signal transduction",1670,72,0.657093070116306,1
"BP","cell cycle",1691,71,0.524812844979188,1
"BP","protein transport",1452,71,0.121292354335297,1
"BP","neuron differentiation",1488,71,0.704779341454056,1
"BP","homeostatic process",1819,71,0.796178856649871,1
"BP","positive regulation of DNA-templated transcription",1685,71,0.779213661507053,1
"BP","positive regulation of RNA biosynthetic process",1687,71,0.781698327503458,1
"BP","positive regulation of multicellular organismal process",1727,70,0.771549926095004,1
"BP","macromolecule catabolic process",1616,69,0.307458158291426,1
"BP","cell adhesion",1549,67,0.718890046570388,1
"BP","negative regulation of cell communication",1635,67,0.736605087388393,1
"BP","negative regulation of signaling",1635,67,0.739310483094298,1
"BP","cytoskeleton organization",1542,65,0.834564884398416,1
"BP","regulation of multicellular organismal development",1510,65,0.637004400646531,1
"BP","negative regulation of signal transduction",1529,64,0.670011310749268,1
"BP","regulation of programmed cell death",1532,64,0.541890726362243,1
"BP","intracellular transport",1423,64,0.413349358679733,1
"BP","response to oxygen-containing compound",1719,64,0.884203181764857,1
"BP","cell-cell signaling",1367,63,0.50866328672555,1
"BP","regulation of apoptotic process",1478,63,0.478833838768197,1
"BP","small molecule metabolic process",1735,63,0.771546210228418,1
"BP","negative regulation of nucleobase-containing compound metabolic process",1566,63,0.763301648103887,1
"BP","protein-containing complex assembly",1633,63,0.731441063373849,1
"BP","immune response",1852,62,0.784672467656976,1
"BP","negative regulation of RNA metabolic process",1438,60,0.690632675482723,1
"BP","defense response",1930,59,0.913618685217361,1
"BP","regulation of protein metabolic process",1579,59,0.810769243992768,1
"BP","proteolysis",1520,58,0.698517662452041,1
"BP","cell cycle process",1339,58,0.452632929867343,1
"BP","neuron development",1204,58,0.71159012347031,1
"BP","positive regulation of developmental process",1394,58,0.801382050100794,1
"BP","regulation of immune system process",1653,57,0.864116495814833,1
"BP","reproductive process",1600,57,0.78803308363386,1
"BP","positive regulation of transcription by RNA polymerase II",1252,57,0.564809666187545,1
"BP","transmembrane transport",1564,57,0.909509066923647,1
"BP","circulatory system development",1263,57,0.549628806101438,1
"BP","cell morphogenesis",1018,55,0.463285997074906,1
"BP","regulation of response to stress",1516,55,0.777062896465783,1
"BP","response to endogenous stimulus",1589,54,0.984902858112216,1
"BP","negative regulation of gene expression",1672,54,0.480194344227889,1
"BP","locomotion",1355,54,0.744546339075606,1
"BP","biological process involved in interspecies interaction between organisms",1776,54,0.939927421797139,1
"BP","anatomical structure formation involved in morphogenesis",1303,53,0.824615970025264,1
"BP","neuron projection development",1043,52,0.636831125416084,1
"BP","regulation of organelle organization",1181,52,0.609794164588104,1
"BP","negative regulation of DNA-templated transcription",1317,52,0.821262113353003,1
"BP","epithelium development",1265,52,0.745454179442294,1
"BP","negative regulation of RNA biosynthetic process",1326,52,0.825789012699173,1
"BP","lipid metabolic process",1389,51,0.749733436669293,1
"BP","monoatomic ion transport",1256,51,0.724323237111796,1
"BP","central nervous system development",1070,51,0.62381553998226,1
"BP","growth",963,51,0.22109508379132,1
"BP","nervous system process",1479,50,0.755571608891854,1
"BP","negative regulation of multicellular organismal process",1288,50,0.609588049087856,1
"BP","response to biotic stimulus",1657,49,0.940860534300315,1
"BP","cell junction organization",865,49,0.272496061899224,1
"BP","tube development",1211,49,0.830237122862694,1
"BP","response to external biotic stimulus",1618,49,0.907803268206585,1
"BP","response to other organism",1615,49,0.905896082541257,1
