"Description","N","DE","P.DE","FDR"
"ECM-receptor interaction",89,4,0.717085859814144,1
"Gap junction",88,4,0.656515835860367,1
"NOD-like receptor signaling pathway",177,4,0.891526411141476,1
"Hematopoietic cell lineage",90,4,0.403806832401026,1
"Th1 and Th2 cell differentiation",90,4,0.602792500594026,1
"Th17 cell differentiation",106,4,0.720405285466511,1
"T cell receptor signaling pathway",118,4,0.846177971219908,1
"Fc epsilon RI signaling pathway",67,4,0.416606685304661,1
"TNF signaling pathway",118,4,0.764095952527971,1
"Circadian entrainment",97,4,0.798227250965236,1
"Retrograde endocannabinoid signaling",141,4,0.902045917376851,1
"Inflammatory mediator regulation of TRP channels",98,4,0.782589928485065,1
"Insulin signaling pathway",137,4,0.901109827730573,1
"Insulin secretion",86,4,0.67055976693628,1
"Progesterone-mediated oocyte maturation",92,4,0.64402500721841,1
"Prolactin signaling pathway",70,4,0.456636228078765,1
"Oxytocin signaling pathway",153,4,0.965143340505546,1
"Aldosterone synthesis and secretion",97,4,0.777137722453209,1
"Relaxin signaling pathway",128,4,0.883391498267149,1
"Parathyroid hormone synthesis, secretion and action",115,4,0.882556305226944,1
"Non-alcoholic fatty liver disease",151,4,0.843602084900571,1
"Endocrine and other factor-regulated calcium reabsorption",53,4,0.306024886051886,1
"Salivary secretion",89,4,0.559134604064217,1
"Epithelial cell signaling in Helicobacter pylori infection",70,4,0.367658270905774,1
"Leishmaniasis",70,4,0.276986364025217,1
"Amoebiasis",99,4,0.679811439339195,1
"Human immunodeficiency virus 1 infection",208,4,0.979706089219237,1
"Non-small cell lung cancer",72,4,0.577111450782958,1
"PD-L1 expression and PD-1 checkpoint pathway in cancer",89,4,0.608033669055304,1
"Rheumatoid arthritis",88,4,0.361742251980734,1
"Arrhythmogenic right ventricular cardiomyopathy",86,4,0.73710725402099,1
"Lipid and atherosclerosis",207,4,0.977419700044978,1
"Fluid shear stress and atherosclerosis",134,4,0.839202334365044,1
"Citrate cycle (TCA cycle)",30,3,0.100265446564221,1
"Purine metabolism",127,3,0.93053935670898,1
"Valine, leucine and isoleucine degradation",47,3,0.312808970257895,1
"N-Glycan biosynthesis",54,3,0.381375805471062,1
"Glycerolipid metabolism",61,3,0.531563156787223,1
"Ether lipid metabolism",51,3,0.29873731839688,1
"Arachidonic acid metabolism",62,3,0.300895658165617,1
"Glyoxylate and dicarboxylate metabolism",31,3,0.104702988457344,1
"Endocrine resistance",96,3,0.895002843194057,1
"Ribosome biogenesis in eukaryotes",73,3,0.436276655947532,1
"Spliceosome",143,3,0.87749918011624,1
"Homologous recombination",41,3,0.226832258359653,1
"NF-kappa B signaling pathway",102,3,0.81864872390317,1
"Oocyte meiosis",121,3,0.90730491927507,1
"p53 signaling pathway",75,3,0.673593160163453,1
"Mitophagy - animal",101,3,0.797051298101394,1
"AMPK signaling pathway",120,3,0.950235720689308,1
"Necroptosis",150,3,0.897790001542695,1
"TGF-beta signaling pathway",110,3,0.878250395567065,1
"Complement and coagulation cascades",85,3,0.477238553256932,1
