"ENTREZID","SYMBOL","GENENAME"
"135892","TRIM50","tripartite motif containing 50"
"137695","TMEM68","transmembrane protein 68"
"1387","CREBBP","CREB binding lysine acetyltransferase"
"1400","CRMP1","collapsin response mediator protein 1"
"140735","DYNLL2","dynein light chain LC8-type 2"
"142685","ASB15","ankyrin repeat and SOCS box containing 15"
"1431","CS","citrate synthase"
"1441","CSF3R","colony stimulating factor 3 receptor"
"145282","MIPOL1","mirror-image polydactyly 1"
"145483","FAM161B","FAM161 centrosomal protein B"
"145501","ISM2","isthmin 2"
"145567","TTC7B","tetratricopeptide repeat domain 7B"
"145773","FAM81A","family with sequence similarity 81 member A"
"145781","GCOM1","GCOM1, MYZAP-POLR2M combined locus"
"146050","ZSCAN29","zinc finger and SCAN domain containing 29"
"146057","TTBK2","tau tubulin kinase 2"
"146664","MGAT5B","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B"
"146705","TEPSIN","TEPSIN adaptor related protein complex 4 accessory protein"
"146712","QTGAL","queuosine-tRNA galactosyltransferase"
"146852","ODF4","outer dense fiber of sperm tails 4"
"146857","SLFN13","schlafen family member 13"
"147184","KRT10-AS1","KRT10 antisense RNA 1"
"147650","SPACA6","sperm acrosome associated 6"
"147658","ZNF534","zinc finger protein 534"
"1479","CSTF3","cleavage stimulation factor subunit 3"
"149371","EXOC8","exocyst complex component 8"
"149473","CCDC24","coiled-coil domain containing 24"
"150291","MORC2-AS1","MORC2 antisense RNA 1"
"152","ADRA2C","adrenoceptor alpha 2C"
"152330","CNTN4","contactin 4"
"153769","SH3RF2","SH3 domain containing ring finger 2"
"153830","RNF145","ring finger protein 145"
"154386","LINC01600","long intergenic non-protein coding RNA 1600"
"157657","CFAP418","cilia and flagella associated protein 418"
"157680","VPS13B","vacuolar protein sorting 13 homolog B"
"157695","TDRP","testis development related protein"
"157697","ERICH1","glutamate rich 1"
"16","AARS1","alanyl-tRNA synthetase 1"
"160622","TAMALIN","trafficking regulator and scaffold protein tamalin"
"161436","EML5","EMAP like 5"
"1616","DAXX","death domain associated protein"
"163126","EID2","EP300 interacting inhibitor of differentiation 2"
"1647","GADD45A","growth arrest and DNA damage inducible alpha"
"166647","ADGRA3","adhesion G protein-coupled receptor A3"
"166815","TIGD2","tigger transposable element derived 2"
"167153","TENT2","terminal nucleotidyltransferase 2"
"167681","PRSS35","serine protease 35"
"1687","GSDME","gasdermin E"
"171425","CLYBL","citramalyl-CoA lyase"
"1718","DHCR24","24-dehydrocholesterol reductase"
"1741","DLG3","discs large MAGUK scaffold protein 3"
"178","AGL","amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase"
"1793","DOCK1","dedicator of cytokinesis 1"
"1811","SLC26A3","solute carrier family 26 member 3"
"1813","DRD2","dopamine receptor D2"
"1870","E2F2","E2F transcription factor 2"
"1876","E2F6","E2F transcription factor 6"
"196403","DTX3","deltex E3 ubiquitin ligase 3"
"1967","EIF2B1","eukaryotic translation initiation factor 2B subunit alpha"
"196993","CT62","cancer/testis associated 62"
"196996","GRAMD2A","GRAM domain containing 2A"
"197135","PATL2","PAT1 homolog 2"
"197335","WDR90","WD repeat domain 90"
"1977","EIF4E","eukaryotic translation initiation factor 4E"
"1979","EIF4EBP2","eukaryotic translation initiation factor 4E binding protein 2"
"1983","EIF5","eukaryotic translation initiation factor 5"
"200312","RNF215","ring finger protein 215"
"2017","CTTN","cortactin"
"201725","C4orf46","chromosome 4 open reading frame 46"
"202559","KHDRBS2","KH RNA binding domain containing, signal transduction associated 2"
"2038","EPB42","erythrocyte membrane protein band 4.2"
"2040","STOM","stomatin"
"2045","EPHA7","EPH receptor A7"
"2110","ETFDH","electron transfer flavoprotein dehydrogenase"
"2138","EYA1","EYA transcriptional coactivator and phosphatase 1"
"2173","FABP7","fatty acid binding protein 7"
"219873","OR10S1","olfactory receptor family 10 subfamily S member 1"
"219954","OR9I1","olfactory receptor family 9 subfamily I member 1"
"219956","OR9Q1","olfactory receptor family 9 subfamily Q member 1"
"221178","SPATA13","spermatogenesis associated 13"
"221527","ZBTB12","zinc finger and BTB domain containing 12"
"2218","FKTN","fukutin"
"221935","SDK1","sidekick cell adhesion molecule 1"
"2241","FER","FER tyrosine kinase"
"2244","FGB","fibrinogen beta chain"
"2257","FGF12","fibroblast growth factor 12"
"2259","FGF14","fibroblast growth factor 14"
"2280","FKBP1A","FKBP prolyl isomerase 1A"
"22801","ITGA11","integrin subunit alpha 11"
"22864","R3HDM2","R3H domain containing 2"
"22916","NCBP2","nuclear cap binding protein subunit 2"
"22931","RAB18","RAB18, member RAS oncogene family"
"22941","SHANK2","SH3 and multiple ankyrin repeat domains 2"
"22985","ACIN1","apoptotic chromatin condensation inducer 1"
"22995","CEP152","centrosomal protein 152"
"22999","RIMS1","regulating synaptic membrane exocytosis 1"
"23014","FBXO21","F-box protein 21"
"23022","PALLD","palladin, cytoskeletal associated protein"
