"ENTREZID","SYMBOL","GENENAME"
"5890","RAD51B","RAD51 paralog B"
"5901","RAN","RAN, member RAS oncogene family"
"59344","ALOXE3","arachidonate epidermal lipoxygenase 3"
"594855","CPLX3","complexin 3"
"6014","RIT2","Ras like without CAAX 2"
"604","BCL6","BCL6 transcription repressor"
"60626","RIC8A","RIC8 guanine nucleotide exchange factor A"
"6098","ROS1","ROS proto-oncogene 1, receptor tyrosine kinase"
"6157","RPL27A","ribosomal protein L27a"
"6182","MRPL12","mitochondrial ribosomal protein L12"
"619562","SNORA3A","small nucleolar RNA, H/ACA box 3A"
"6196","RPS6KA2","ribosomal protein S6 kinase A2"
"6217","RPS16","ribosomal protein S16"
"6222","RPS18","ribosomal protein S18"
"6251","RSU1","Ras suppressor protein 1"
"6261","RYR1","ryanodine receptor 1"
"6262","RYR2","ryanodine receptor 2"
"627","BDNF","brain derived neurotrophic factor"
"6293","VPS52","VPS52 subunit of GARP complex"
"6300","MAPK12","mitogen-activated protein kinase 12"
"6331","SCN5A","sodium voltage-gated channel alpha subunit 5"
"63876","PKNOX2","PBX/knotted 1 homeobox 2"
"63898","SH2D4A","SH2 domain containing 4A"
"63917","GALNT11","polypeptide N-acetylgalactosaminyltransferase 11"
"6396","SEC13","SEC13 homolog, nuclear pore and COPII component"
"63971","KIF13A","kinesin family member 13A"
"63976","PRDM16","PR/SET domain 16"
"63977","PRDM15","PR/SET domain 15"
"64080","RBKS","ribokinase"
"64089","SNX16","sorting nexin 16"
"64094","SMOC2","SPARC related modular calcium binding 2"
"64221","ROBO3","roundabout guidance receptor 3"
"64409","GALNT17","polypeptide N-acetylgalactosaminyltransferase 17"
"644192","NR2F2-AS1","NR2F2 antisense RNA 1"
"64422","ATG3","autophagy related 3"
"644246","KANSL1-AS1","KANSL1 antisense RNA 1"
"646023","ADORA2A-AS1","ADORA2A antisense RNA 1"
"646300","COL6A4P2","collagen type VI alpha 4 pseudogene 2"
"64641","EBF2","EBF transcription factor 2"
"646603","C4orf51","chromosome 4 open reading frame 51"
"647174","SERPINE3","serpin family E member 3"
"64761","PARP12","poly(ADP-ribose) polymerase family member 12"
"64778","FNDC3B","fibronectin type III domain containing 3B"
"6478","SIAH2","siah E3 ubiquitin protein ligase 2"
"64799","IQCH","IQ motif containing H"
"64854","USP46","ubiquitin specific peptidase 46"
"64924","SLC30A5","solute carrier family 30 member 5"
"65008","MRPL1","mitochondrial ribosomal protein L1"
"6506","SLC1A2","solute carrier family 1 member 2"
"65263","PYCR3","pyrroline-5-carboxylate reductase 3"
"65268","WNK2","WNK lysine deficient protein kinase 2"
"6595","SMARCA2","SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2"
"6647","SOD1","superoxide dismutase 1"
"6678","SPARC","secreted protein acidic and cysteine rich"
"6697","SPR","sepiapterin reductase"
"6730","SRP68","signal recognition particle 68"
"6789","STK4","serine/threonine kinase 4"
"683","BST1","bone marrow stromal cell antigen 1"
"6869","TACR1","tachykinin receptor 1"
"6870","TACR3","tachykinin receptor 3"
"6874","TAF4","TATA-box binding protein associated factor 4"
"6877","TAF5","TATA-box binding protein associated factor 5"
"6892","TAPBP","TAP binding protein"
"692200","SNORD103C","small nucleolar RNA, C/D box 103C"
"6928","HNF1B","HNF1 homeobox B"
"6938","TCF12","transcription factor 12"
"6988","TCTA","T cell leukemia translocation altered"
"7036","TFR2","transferrin receptor 2"
"7071","KLF10","KLF transcription factor 10"
"7148","TNXB","tenascin XB"
"718","C3","complement C3"
"7227","TRPS1","transcriptional repressor GATA binding 1"
"726","CAPN5","calpain 5"
"7273","TTN","titin"
"729911","ANKRD34C-AS1","ANKRD34C antisense RNA 1"
"730051","ZNF814","zinc finger protein 814"
"7398","USP1","ubiquitin specific peptidase 1"
"7414","VCL","vinculin"
"7421","VDR","vitamin D receptor"
"7453","WARS1","tryptophanyl-tRNA synthetase 1"
"7461","CLIP2","CAP-Gly domain containing linker protein 2"
"7472","WNT2","Wnt family member 2"
"7517","XRCC3","X-ray repair cross complementing 3"
"7542","ZFPL1","zinc finger protein like 1"
"7586","ZKSCAN1","zinc finger with KRAB and SCAN domains 1"
"759","CA1","carbonic anhydrase 1"
"7620","ZNF69","zinc finger protein 69"
"7629","ZNF76","zinc finger protein 76"
"7709","ZBTB17","zinc finger and BTB domain containing 17"
"7846","TUBA1A","tubulin alpha 1a"
"7879","RAB7A","RAB7A, member RAS oncogene family"
"79029","AFG2B","AAA ATPase AFG2B"
"79161","TMEM243","transmembrane protein 243"
"7941","PLA2G7","phospholipase A2 group VII"
"79446","WDR25","WD repeat domain 25"
"7955","RNF217-AS1","RNF217 antisense RNA 1"
"79577","CDC73","cell division cycle 73"
"79585","CORO7","coronin 7"
"79596","OBI1","ORC ubiquitin ligase 1"
"79612","NAA16","N-alpha-acetyltransferase 16, NatA auxiliary subunit"
"79693","YRDC","yrdC N6-threonylcarbamoyltransferase domain containing"
"79717","PPCS","phosphopantothenoylcysteine synthetase"
"79740","ZBBX","zinc finger B-box domain containing"
"7976","FZD3","frizzled class receptor 3"
"79789","CLMN","calmin"
"79791","FBXO31","F-box protein 31"
"79792","GSDMD","gasdermin D"
"79813","EHMT1","euchromatic histone lysine methyltransferase 1"
"79858","NEK11","NIMA related kinase 11"
"79944","L2HGDH","L-2-hydroxyglutarate dehydrogenase"
"80207","OPA3","outer mitochondrial membrane lipid metabolism regulator OPA3"
"80208","SPG11","SPG11 vesicle trafficking associated, spatacsin"
"80221","ACSF2","acyl-CoA synthetase family member 2"
"80222","TARS2","threonyl-tRNA synthetase 2, mitochondrial"
"80235","PIGZ","phosphatidylinositol glycan anchor biosynthesis class Z (Gwada blood group)"
"8029","CUBN","cubilin"
"80346","REEP4","receptor accessory protein 4"
"80347","COASY","Coenzyme A synthase"
"80742","PRR3","proline rich 3"
"8099","CDK2AP1","cyclin dependent kinase 2 associated protein 1"
"8110","DPF3","double PHD fingers 3"
"81300","OR4P4","olfactory receptor family 4 subfamily P member 4"
"81442","OR6N2","olfactory receptor family 6 subfamily N member 2"
"81554","RCC1L","RCC1 like"
"81575","APOLD1","apolipoprotein L domain containing 1"
"81606","LBH","LBH regulator of Wnt signaling pathway"
"81704","DOCK8","dedicator of cytokinesis 8"
"81832","NETO1","neuropilin and tolloid like 1"
"8226","PUDP","pseudouridine 5'-phosphatase"
"8277","TKTL1","transketolase like 1"
"8317","CDC7","cell division cycle 7"
"832","CAPZB","capping actin protein of muscle Z-line subunit beta"
"83658","DYNLRB1","dynein light chain roadblock-type 1"
"83696","TRAPPC9","trafficking protein particle complex subunit 9"
"83752","LONP2","lon peptidase 2, peroxisomal"
"83932","SPRTN","SprT-like N-terminal domain"
"83943","IMMP2L","inner mitochondrial membrane peptidase subunit 2"
"84057","MND1","meiotic nuclear divisions 1"
"8408","ULK1","unc-51 like autophagy activating kinase 1"
"84217","ZMYND12","zinc finger MYND-type containing 12"
"84231","TRAF7","TNF receptor associated factor 7"
"84274","COQ5","coenzyme Q5, methyltransferase"
"84310","CHLSN","cholesin"
"8455","ATRN","attractin"
"84561","SLC12A8","solute carrier family 12 member 8"
"84626","KRABD3","KRAB domain containing 3"
"84651","SPINK7","serine peptidase inhibitor Kazal type 7"
"8468","FKBP6","FKBP prolyl isomerase family member 6 (inactive)"
"84720","PIGO","phosphatidylinositol glycan anchor biosynthesis class O"
"84727","SPSB2","splA/ryanodine receptor domain and SOCS box containing 2"
"84787","KMT5C","lysine methyltransferase 5C"
"84909","AOPEP","aminopeptidase O (putative)"
"84918","LRP11","LDL receptor related protein 11"
"84957","RELT","RELT TNF receptor"
"8497","PPFIA4","PPFI scaffold protein A4"
"84984","CEP19","centrosomal protein 19"
"8501","SLC43A1","solute carrier family 43 member 1"
"85027","SMIM3","small integral membrane protein 3"
"8522","GAS7","growth arrest specific 7"
"85371","KIAA1656","KIAA1656 protein"
"8538","BARX2","BARX homeobox 2"
"85463","ZC3H12C","zinc finger CCCH-type containing 12C"
"85477","SCIN","scinderin"
"8553","BHLHE40","basic helix-loop-helix family member e40"
"8565","YARS1","tyrosyl-tRNA synthetase 1"
"8600","TNFSF11","TNF superfamily member 11"
"8622","PDE8B","phosphodiesterase 8B"
"8629","JRK","Jrk helix-turn-helix protein"
"863","CBFA2T3","CBFA2/RUNX1 partner transcriptional co-repressor 3"
"87178","PNPT1","polyribonucleotide nucleotidyltransferase 1"
"8763","CD164","CD164 molecule"
"8803","SUCLA2","succinate-CoA ligase ADP-forming subunit beta"
"8818","DPM2","dolichyl-phosphate mannosyltransferase subunit 2, regulatory"
"8828","NRP2","neuropilin 2"
"8899","PRP4K","pre-mRNA processing factor kinase PRP4K"
"89122","TRIM4","tripartite motif containing 4"
"8913","CACNA1G","calcium voltage-gated channel subunit alpha1 G"
"8935","SKAP2","src kinase associated phosphoprotein 2"
"89797","NAV2","neuron navigator 2"
"8993","PGLYRP1","peptidoglycan recognition protein 1"
"90102","PHLDB2","pleckstrin homology like domain family B member 2"
"90411","MCFD2","multiple coagulation factor deficiency 2, ER cargo receptor complex subunit"
"90627","STARD13","StAR related lipid transfer domain containing 13"
"9093","DNAJA3","DnaJ heat shock protein family (Hsp40) member A3"
"91120","ZNF682","zinc finger protein 682"
"91133","L3MBTL4","L3MBTL histone methyl-lysine binding protein 4"
"9124","PDLIM1","PDZ and LIM domain 1"
"9162","DGKI","diacylglycerol kinase iota"
"91663","MYADM","myeloid associated differentiation marker"
"91689","SMDT1","single-pass membrane protein with aspartate rich tail 1"
"9175","MAP3K13","mitogen-activated protein kinase kinase kinase 13"
"9181","ARHGEF2","Rho/Rac guanine nucleotide exchange factor 2"
"9182","RASSF9","Ras association domain family member 9"
"92017","SNX29","sorting nexin 29"
"92181","UBTD2","ubiquitin domain containing 2"
"9228","DLGAP2","DLG associated protein 2"
"92345","NAF1","nuclear assembly factor 1 ribonucleoprotein"
"925","CD8A","CD8 subunit alpha"
"9260","PDLIM7","PDZ and LIM domain 7"
"92737","DNER","delta/notch like EGF repeat containing"
"9276","COPB2","coat protein complex I subunit beta 2"
"9306","SOCS6","suppressor of cytokine signaling 6"
"93183","PIGM","phosphatidylinositol glycan anchor biosynthesis class M"
"9320","TRIP12","thyroid hormone receptor interactor 12"
"9358","ITGBL1","integrin subunit beta like 1"
"93664","CADPS2","calcium dependent secretion activator 2"
"9379","NRXN2","neurexin 2"
"9381","OTOF","otoferlin"
"9394","HS6ST1","heparan sulfate 6-O-sulfotransferase 1"
"9419","CRIPT","CXXC repeat containing interactor of PDZ3 domain"
"9450","LY86","lymphocyte antigen 86"
"9462","RASAL2","RAS protein activator like 2"
"95","ACY1","aminoacylase 1"
"9525","VPS4B","vacuolar protein sorting 4 homolog B"
"9627","SNCAIP","synuclein alpha interacting protein"
"9644","SH3PXD2A","SH3 and PX domains 2A"
"9665","MARF1","meiosis regulator and mRNA stability factor 1"
"96764","TGS1","trimethylguanosine synthase 1"
"9686","VGLL4","vestigial like family member 4"
"9695","EDEM1","ER degradation enhancing alpha-mannosidase like protein 1"
"9698","PUM1","pumilio RNA binding family member 1"
"9709","HERPUD1","homocysteine inducible ER protein with ubiquitin like domain 1"
"9727","RAB11FIP3","RAB11 family interacting protein 3"
"9732","DOCK4","dedicator of cytokinesis 4"
"9735","KNTC1","kinetochore associated 1"
"9752","PCDHA9","protocadherin alpha 9"
"9755","TBKBP1","TBK1 binding protein 1"
"9759","HDAC4","histone deacetylase 4"
"9779","TBC1D5","TBC1 domain family member 5"
"9788","MTSS1","MTSS I-BAR domain containing 1"
"9814","SFI1","SFI1 centrin binding protein"
"9827","RGP1","RGP1 partner of RAB6A GEF complex"
"987","LRBA","LPS responsive beige-like anchor protein"
"9874","TLK1","tousled like kinase 1"
"9905","SGSM2","small G protein signaling modulator 2"
"9915","ARNT2","aryl hydrocarbon receptor nuclear translocator 2"
"9918","NCAPD2","non-SMC condensin I complex subunit D2"
"994","CDC25B","cell division cycle 25B"
